               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.071852,              0.2657,            0.021348,             0.32417,             0.33797,             0.12437,            0.041584,            0.085005,             0.19394,            0.031436,           0.0019804,           0.0019804,             0.08208
                 100,             0.07081,             0.24447,            0.021343,             0.29288,             0.35674,             0.12555,            0.044754,            0.084975,             0.19243,            0.031611,           0.0020001,           0.0020001,              0.0819
                 101,            0.071271,             0.24092,            0.021073,             0.36101,             0.27825,             0.12386,            0.039793,            0.083649,             0.19334,            0.031316,           0.0020198,           0.0020198,             0.08172
                 102,            0.071649,             0.24305,            0.021446,             0.24615,             0.21393,             0.10385,            0.025425,            0.081622,             0.19312,            0.030242,           0.0020395,           0.0020395,            0.081539
                 103,            0.070001,             0.24575,            0.021001,             0.28359,             0.27972,             0.11974,            0.036003,            0.080716,             0.19204,            0.030457,           0.0020592,           0.0020592,            0.081359
                 104,            0.070898,             0.26315,            0.021035,             0.15488,             0.17205,            0.082313,            0.019265,            0.082762,             0.19461,            0.029713,           0.0020789,           0.0020789,            0.081179
                 105,            0.066887,             0.23319,            0.021069,             0.37546,             0.37005,             0.15726,            0.045534,            0.081638,             0.18994,            0.031319,           0.0020985,           0.0020985,            0.080999
                 106,            0.068559,             0.23195,            0.020757,             0.29368,              0.2242,             0.13027,            0.040448,             0.07741,             0.19759,            0.029547,           0.0021182,           0.0021182,            0.080818
                 107,            0.068158,             0.23336,            0.021668,             0.24038,             0.21055,             0.13142,            0.039414,            0.077125,             0.19905,            0.028537,           0.0021379,           0.0021379,            0.080638
                 108,            0.067703,             0.23432,            0.021073,             0.18469,             0.32547,             0.13416,            0.039789,            0.074157,             0.19175,            0.027318,           0.0021575,           0.0021575,            0.080458
